number,description,parent_code,level
0214020.05,Terugneming van bijzondere waardeverminderingen andere vaste bedrijfsmiddelen,,5
0214020.06,Overige mutaties afschrijvingen andere vaste bedrijfsmiddelen,,5
0214030.01,Beginbalans (overname eindsaldo vorig jaar) andere vaste bedrijfsmiddelen,,5
0214030.02,Herwaarderingen andere vaste bedrijfsmiddelen,,5
0214030.03,Afschrijving herwaarderingen andere vaste bedrijfsmiddelen,,5
0214030.04,Desinvestering herwaarderingen andere vaste bedrijfsmiddelen,,5
0214030.05,Overige mutaties herwaarderingen andere vaste bedrijfsmiddelen,,5
0215010.01,Beginbalans (overname eindsaldo vorig jaar) inventaris,,5
0215010.02,Investeringen inventaris,,5
0215010.05,Verwervingen via fusies en overnames inventaris,,5
0215010.06,Desinvesteringen inventaris,,5
0215010.07,Afstotingen inventaris,,5
0215010.08,Omrekeningsverschillen inventaris,,5
0215010.09,Overboekingen inventaris,,5
0215010.10,Overige mutaties inventaris,,5
0215015.01,Beginbalans (overname eindsaldo vorig jaar) inventaris,,5
0215015.02,Investeringen inventaris,,5
0215015.05,Verwervingen via fusies en overnames inventaris,,5
0215015.06,Desinvesteringen inventaris,,5
0215015.08,Omrekeningsverschillen inventaris,,5
0215015.09,Overboekingen inventaris,,5
0215015.10,Overige mutaties inventaris,,5
0215020.01,Beginbalans (overname eindsaldo vorig jaar) inventaris,,5
0215020.02,Afschrijvingen inventaris,,5
0215020.03,Afschrijving op desinvesteringen inventaris,,5
0215020.04,Bijzondere waardeverminderingen inventaris,,5
0215020.05,Terugneming van bijzondere waardeverminderingen inventaris,,5
0215020.06,Overige mutaties afschrijvingen inventaris,,5
0215030.01,Beginbalans (overname eindsaldo vorig jaar) inventaris,,5
0215030.02,Herwaarderingen inventaris,,5
0215030.03,Afschrijving herwaarderingen inventaris,,5
0215030.04,Desinvestering herwaarderingen inventaris,,5
0215030.05,Overige mutaties herwaarderingen inventaris,,5
0213010.01,Beginbalans (overname eindsaldo vorig jaar) automobielen en overige transportmiddelen,,5
0213010.02,Investeringen automobielen en overige transportmiddelen,,5
0213010.05,Verwervingen via fusies en overnames automobielen en overige transportmiddelen,,5
0213010.06,Desinvesteringen automobielen en overige transportmiddelen,,5
0213010.07,Afstotingen automobielen en overige transportmiddelen,,5
0213010.08,Omrekeningsverschillen automobielen en overige transportmiddelen,,5
0213010.09,Overboekingen automobielen en overige transportmiddelen,,5
0213010.10,Overige mutaties automobielen en overige transportmiddelen,,5
0213015.01,Beginbalans (overname eindsaldo vorig jaar) automobielen en overige transportmiddelen,,5
0213015.02,Investeringen automobielen en overige transportmiddelen,,5
0213015.05,Verwervingen via fusies en overnames automobielen en overige transportmiddelen,,5
0213015.06,Desinvesteringen automobielen en overige transportmiddelen,,5
0213015.07,Afstotingen automobielen en overige transportmiddelen,,5
0213015.08,Omrekeningsverschillen automobielen en overige transportmiddelen,,5
0213015.09,Overboekingen automobielen en overige transportmiddelen,,5
0213015.10,Overige mutaties automobielen en overige transportmiddelen,,5
0204020.02,Afschrijvingen ,,5
0213020.01,Beginbalans (overname eindsaldo vorig jaar) automobielen en overige transportmiddelen,,5
0213020.02,Afschrijvingen automobielen en overige transportmiddelen,,5
0213020.03,Afschrijving op desinvesteringen automobielen en overige transportmiddelen,,5
0213020.04,Bijzondere waardeverminderingen automobielen en overige transportmiddelen,,5
0213020.05,Terugneming van bijzondere waardeverminderingen automobielen en overige transportmiddelen,,5
0213020.06,Overige mutaties afschrijvingen automobielen en overige transportmiddelen,,5
0213030.01,Beginbalans (overname eindsaldo vorig jaar) automobielen en overige transportmiddelen,,5
0213030.02,Herwaarderingen automobielen en overige transportmiddelen,,5
0213030.03,Afschrijving herwaarderingen automobielen en overige transportmiddelen,,5
0213030.04,Desinvestering herwaarderingen automobielen en overige transportmiddelen,,5
0213030.05,Overige mutaties herwaarderingen automobielen en overige transportmiddelen,,5
0209010.01,Beginbalans (overname eindsaldo vorig jaar) huurdersinvesteringen,,5
0209010.02,Investeringen huurdersinvesteringen,,5
0209010.05,Verwervingen via fusies en overnames huurdersinvesteringen,,5
0209010.06,Desinvesteringen huurdersinvesteringen,,5
0209010.07,Afstotingen huurdersinvesteringen,,5
0209010.08,Omrekeningsverschillen huurdersinvesteringen,,5
0209010.09,Overboekingen huurdersinvesteringen,,5
0209010.10,Overige mutaties huurdersinvesteringen,,5
0209015.01,Beginbalans (overname eindsaldo vorig jaar) huurdersinvesteringen,,5
0209015.02,Investeringen huurdersinvesteringen,,5
0209015.05,Verwervingen via fusies en overnames huurdersinvesteringen,,5
0209015.06,Desinvesteringen huurdersinvesteringen,,5
0209015.07,Afstotingen huurdersinvesteringen,,5
0209015.08,Omrekeningsverschillen huurdersinvesteringen,,5
0209015.09,Overboekingen huurdersinvesteringen,,5
0209015.10,Overige mutaties huurdersinvesteringen,,5
0209020.01,Beginbalans (overname eindsaldo vorig jaar) huurdersinvesteringen,,5
0209020.02,Afschrijvingen huurdersinvesteringen,,5
0209020.03,Afschrijving op desinvesteringen huurdersinvesteringen,,5
0209020.04,Bijzondere waardeverminderingen huurdersinvesteringen,,5
0209020.05,Terugneming van bijzondere waardeverminderingen huurdersinvesteringen,,5
